nome,territorio,intencao_sonora,por_que_entra_na_rodada,risco_inicial,beleza_sonora,facilidade_popular,credibilidade_profissional,plataforma_ampla,calor_humano,distintividade,risco_preliminar,score_total
Cuidar,Cuidado direto,popular e inequívoco,Entendido por todos e legítimo em saúde,genérico demais,7.2,8.5,7.0,7.0,7.0,5.5,5.4,6.88
Sanar,Resolver e cuidar,verbo forte e claro,Profissionais entendem; público entende solução de saúde,uso alto em educação médica,7.0,8.5,7.0,7.0,7.0,6.5,4.6,6.85
Todos,Universalidade,coletivo e claro,Democrático e acolhedor; bom para saúde acessível,genérico demais,7.0,8.5,7.0,7.0,7.0,5.5,5.4,6.85
Oásis,Refúgio e cuidado,forte visual e acolhedor,Lugar seguro em meio à complexidade da saúde,acento e uso alto,7.4,8.1,7.0,7.0,7.0,6.5,4.6,6.85
Olhar,Visão humana,simples e sensível,Plataforma que olha a pessoa inteira,genérico e talvez editorial,7.0,8.5,7.0,7.0,7.0,5.5,5.4,6.85
Bem,Bem-estar essencial,mínimo e universal,Extremamente simples e positivo,genérico demais isolado,6.9,8.5,7.0,7.0,7.0,5.5,5.4,6.83
Juntos,Comunidade e cuidado,popular emocional e claro,Comunica profissionais e usuários em rede,genérico,6.9,8.5,7.0,7.0,7.0,5.5,5.4,6.83
Pulsar,Vida em movimento,poético e energético,Boa sonoridade e saúde sem literalidade,uso alto,6.9,8.5,7.0,7.0,7.0,6.5,4.6,6.83
Harmonia,Equilíbrio integrativo,bonito claro e universal,Comunica saúde integrativa e bem-estar,uso alto e longo,7.8,7.5,7.0,7.0,7.0,6.5,4.6,6.83
Caminho,Jornada e orientação,popular e humano,Nome claro para navegar saúde; fácil de entender,genérico,7.7,7.5,7.0,7.0,7.0,5.5,5.4,6.81
ViaSaúde,Caminho de saúde,claro popular e profissional,Fácil para todos e direto,descritivo e pouco sofisticado,8.1,7.1,7.0,7.0,7.0,5.5,5.4,6.81
Viva,Vitalidade popular,aberto fácil e universal,Entendido por todos e muito positivo para saúde e bem-estar,genérico e uso alto,7.8,8.5,7.0,7.0,7.0,5.5,4.0,6.79
Todo,Bem de todos,simples democrático e forte,Abraça universalidade e marketplace para todos,genérico e uso alto,7.8,8.5,7.0,7.0,7.0,5.5,4.0,6.79
Leve,Bem-estar e simplicidade,brasileiro claro e bonito,Promessa de saúde menos complicada; muito popular,genérico e uso alto,7.8,8.5,7.0,7.0,7.0,5.5,4.0,6.79
Humana,Humanidade,claro e acolhedor,Excelente para plataforma com IA humanizada,uso alto e genérico,7.8,8.5,7.0,7.0,7.0,5.5,4.0,6.79
Pessoa,Cuidado centrado na pessoa,simples e filosófico,Abraça todos os públicos; forte conceito,genérico e uso alto,7.8,8.5,7.0,7.0,7.0,5.5,4.0,6.79
Círculo,Comunidade e integralidade,humano e abrangente,Ótimo conceito de rede de cuidado ao redor da pessoa,genérico e longo,7.7,7.1,7.0,7.0,7.0,5.5,5.4,6.75
Vila Saúde,Lugar popular de cuidado,claro e acolhedor,Entendido por todos; bom para público amplo,descritivo e pouco premium,7.9,7.1,7.0,7.0,7.0,5.2,5.4,6.75
Pessoas,Comunidade ampla,humano e democrático,Plataforma de pessoas e profissionais,genérico demais,7.1,7.5,7.0,7.0,7.0,5.5,5.4,6.71
Integra,Integralidade,profissional e claro,Comunica saúde integrativa e ecossistema,uso alto e genérico,7.7,7.5,7.0,7.0,7.0,5.5,4.0,6.62
Eleva Saúde,Elevar saúde,claro e confiável,Assinatura direta para todos,descritivo e uso provável,7.8,6.4,7.0,7.0,7.0,5.2,5.4,6.62
Nossa Saúde,Pertencimento popular,caloroso e claro,Abraça todos e é fácil de adotar,descritivo alto,7.6,6.4,7.0,7.0,7.0,5.2,5.4,6.59
